,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.5091932457786118,0.37435897435897436,0.14436855267271026,0.0,1.0,0.6871794871794872,40.0,1.0,1.0,0.9533854454511212
copt1239,-0.3142589118198875,-0.2153846153846154,0.40767670466471684,0.0,0.0,0.3923076923076923,40.0,1.0,0.9454154480507887,0.9144680840438302
czec1258,0.3729831144465291,0.24871794871794875,0.24199314574314587,0.0,0.0,0.6243589743589744,40.0,1.0,1.0,0.9821472561504018
dani1285,0.2076923076923077,0.13589743589743591,0.0,1.0,1.0,0.5679487179487179,40.0,1.0,0.991335111351954,0.9886415290296265
dutc1256,-0.004502814258911821,-0.010256410256410258,0.5235756507829392,0.0,0.0,0.4948717948717949,40.0,1.0,0.9044252929871313,0.9205203272119505
faro1244,-0.2928705440900563,-0.17692307692307693,0.4339887640449438,0.0,0.0,0.4115384615384615,40.0,1.0,0.9950364922134862,0.9242635344099209
finn1318,0.12589118198874297,0.08974358974358974,0.20072909762333116,0.0,0.0,0.5448717948717948,40.0,1.0,1.0,0.934375170141584
hebr1245,-0.29849906191369613,-0.18461538461538463,0.5677562326869806,0.0,0.0,0.4076923076923077,40.0,1.0,0.9376284390691776,0.9490843818178127
hind1269,0.3855534709193247,0.25641025641025644,0.3921971535745808,0.0,0.0,0.6282051282051282,40.0,1.0,0.9477791277728794,0.921786837620219
hung1274,0.3564727954971858,0.2358974358974359,0.3056487168858576,0.0,0.0,0.617948717948718,40.0,1.0,0.9708321975811932,0.9779309774884354
icel1247,-0.13227016885553475,-0.09230769230769231,0.5378905041756883,0.0,0.0,0.45384615384615384,40.0,1.0,0.9224769957067644,0.8869969471425331
iris1253,-0.19962476547842406,-0.1076923076923077,0.4633241467034132,0.0,0.0,0.4461538461538462,40.0,1.0,0.9648910603428588,0.8484356756952441
ital1282,-0.05347091932457786,-0.03333333333333333,0.18948897175945884,0.0,0.0,0.48333333333333334,40.0,1.0,0.9858646565131232,0.9866345387034751
komi1268,0.225703564727955,0.14615384615384616,0.4080290412128978,0.0,1.0,0.573076923076923,40.0,1.0,0.9082120190543234,0.9226819871989401
kore1280,0.276547842401501,0.1794871794871795,0.2954009433962266,0.0,0.0,0.5897435897435898,40.0,1.0,0.9989184633118497,0.9991742036140483
latv1249,0.3818011257035648,0.2435897435897436,0.13319672131147536,0.0,0.0,0.6217948717948718,40.0,1.0,0.993499128512967,0.9802834700651907
lith1251,0.24183864915572234,0.1512820512820513,0.39350616342610245,0.0,0.0,0.5756410256410256,40.0,1.0,0.9369654492472305,0.9478773787195275
malt1254,-0.19587242026266422,-0.13846153846153847,0.1600722578834754,0.0,0.0,0.4307692307692308,40.0,1.0,0.9851829798722349,0.9860708319557191
mand1415,-0.2555347091932458,-0.17692307692307693,0.48124999999999996,0.0,0.0,0.4115384615384615,40.0,1.0,1.0,0.9316709526071535
mara1378,0.44953095684803007,0.33846153846153854,0.5024637127578305,0.0,1.0,0.6692307692307692,40.0,1.0,0.8934844156941223,0.8195613394550705
mode1248,-0.2681050656660413,-0.19487179487179487,0.48162154419137654,0.0,0.0,0.4025641025641026,40.0,1.0,1.0,0.9173412581639924
nort2671,0.28724202626641654,0.19230769230769232,0.34171510972916946,0.0,1.0,0.5961538461538461,40.0,1.0,0.9028253179240086,0.9244446143274427
nucl1235,0.3035647279549719,0.19487179487179487,0.3552275738972874,0.0,1.0,0.5974358974358974,40.0,1.0,0.920450188646259,0.9299117717170431
nucl1301,0.3491557223264541,0.23076923076923078,0.3397727272727273,0.0,1.0,0.6153846153846154,40.0,1.0,0.9003499955853879,0.882886512530104
nucl1347,-0.3936210131332083,-0.2794871794871795,0.44178226145439264,0.0,0.0,0.36025641025641025,40.0,1.0,0.9670320988588746,0.9711085952417834
nucl1643,0.2358348968105066,0.15384615384615388,0.0,1.0,1.0,0.5769230769230769,40.0,1.0,0.9945734478135151,0.9791966340100269
poli1260,-0.004502814258911821,0.0025641025641025645,0.30560790360344925,0.0,0.0,0.5012820512820513,40.0,1.0,1.0,0.9731353719820762
port1283,-0.27091932457786116,-0.18461538461538463,0.32880759131057535,0.0,0.0,0.4076923076923077,40.0,1.0,1.0,0.9544993588670944
russ1263,0.2232645403377111,0.15384615384615388,0.3328724209308019,0.0,1.0,0.5769230769230769,40.0,1.0,0.9478947077879605,0.9434612661333918
slov1268,0.32213883677298316,0.19230769230769232,0.1741888968997839,0.0,0.0,0.5961538461538461,40.0,1.0,0.9964369883289421,0.9439959328262462
stan1289,-0.17523452157598501,-0.1076923076923077,0.3952389888212746,0.0,0.0,0.4461538461538462,40.0,1.0,0.9575097569278258,0.9413589263796219
stan1290,-0.10243902439024392,-0.05897435897435897,0.39190697223075815,0.0,0.0,0.4705128205128205,40.0,1.0,0.9347723015064654,0.9460346770099289
stan1293,-0.23489681050656663,-0.1794871794871795,0.20072909762333116,0.0,0.0,0.41025641025641024,40.0,1.0,0.9820663869029307,0.9568619139505871
stan1318,-0.27617260787992504,-0.18461538461538463,0.48831541218637997,0.0,0.0,0.4076923076923077,40.0,1.0,0.985058654168605,0.9505349995211901
swed1254,-0.38217636022514073,-0.24615384615384617,0.5219249349684132,0.0,0.0,0.3769230769230769,40.0,1.0,0.9837260197226149,0.8999640594743646
tami1289,0.3339587242026267,0.2205128205128205,0.3646377893950711,0.0,1.0,0.6102564102564103,40.0,1.0,0.919462249746977,0.9347683336421304
telu1262,0.3962476547842402,0.2974358974358975,0.11803350970017629,0.0,1.0,0.6487179487179487,40.0,1.0,0.9946085851581096,0.9957997135094563
ukra1253,0.16416510318949346,0.09230769230769231,0.25527216297946836,0.0,0.0,0.5461538461538461,40.0,1.0,0.966810474449694,0.9709036922380316
viet1252,-0.38686679174484057,-0.28461538461538466,0.3593099744932205,0.0,0.0,0.3576923076923077,40.0,1.0,0.9826298255731594,0.9156242944792432
wels1247,-0.3637898686679175,-0.24615384615384617,0.48162154419137654,0.0,0.0,0.3769230769230769,40.0,1.0,0.9807211189938994,0.9077471377059833
west2369,-0.1553470919324578,-0.11538461538461539,0.3891263057929725,0.0,0.0,0.4423076923076923,40.0,1.0,0.9698516907250208,0.9548759846767166
