group,kind,wals,view,n_members,n_langs_observed,pct_zero,pct_one,pct_multi,max_active,n_multi
polarq_pos,exclusive,92A,union,3,925,40.32432432432432,58.16216216216217,1.5135135135135136,2,14
possessive_affix,exclusive,,union,2,901,29.3007769145394,67.14761376248613,3.551609322974473,2,32
demonstrative_affix,exclusive,,union,2,1154,96.79376083188909,3.2062391681109186,0.0,1,0
case_affix,exclusive,51A,union,4,1009,38.553022794846385,61.24876114965312,0.19821605550049554,2,2
plural_exponence,exclusive,33A/34A,union,3,836,2.272727272727273,97.48803827751196,0.23923444976076555,2,2
tam_affix,exclusive,69A,union,2,985,17.258883248730964,82.74111675126903,0.0,1,0
definite_exponence,exclusive,37A,union,2,636,39.15094339622642,60.84905660377359,0.0,1,0
indefinite_exponence,exclusive,38A,union,2,548,55.47445255474452,44.34306569343065,0.18248175182481752,2,1
prosubject_exponence,exclusive,101A,union,3,689,0.0,100.0,0.0,1,0
negation_exponence,exclusive,112A,union,2,1030,0.0,97.86407766990291,2.1359223300970873,2,22
negation_affix_pos,exclusive,,union,2,1388,60.30259365994236,35.37463976945245,4.322766570605188,2,60
negword_verb_pos,exclusive,143A,union,2,1410,29.574468085106382,61.702127659574465,8.72340425531915,2,123
negword_subj_pos,exclusive,,union,2,821,47.38124238733252,52.496954933008524,0.12180267965895249,2,1
negword_obj_pos,exclusive,,union,2,821,47.38124238733252,52.61875761266748,0.0,1,0
negword_clause_pos,exclusive,,union,2,973,83.65878725590956,16.34121274409044,0.0,1,0
negword_adjacency,exclusive,,union,2,973,55.90955806783144,44.09044193216855,0.0,1,0
alignment,exclusive,98A/99A,union,2,245,44.08163265306123,51.83673469387755,4.081632653061225,2,10
object_marking_locus,exclusive,23A,union,2,248,18.548387096774192,57.66129032258065,23.790322580645164,2,59
possessive_marking_locus,exclusive,24A,union,2,242,14.049586776859504,77.27272727272727,8.677685950413224,2,21
tendency_marking_locus,exclusive,25A,union,2,250,54.0,40.0,6.0,2,15
tendency_affix,exclusive,26A,union,2,977,14.943705220061412,69.9078812691914,15.148413510747186,2,148
vowel_quality_inventory,ordinal,2A,union,8,1715,0.0,90.43731778425655,9.56268221574344,5,164
