cell_F1,cell_P,cell_R,group_acc,exact_profile,validity,n_heldout_cells,n_group_inst,n_wellformed,n_fullobs,arm,protocol,seed,config,shrink,k,tau,rank,l2,n_iter,strict_gold
0.8370434920383427,0.8990810074880872,0.7830146731880836,0.8143192164436474,0.7875414181577204,0.9600678585410414,20405,7663,7249,7545,softimpute_bin,group,42,A,0.5,50,0.35,64,0.02,1200,
0.8396277209445427,0.8727214582667093,0.808952126871202,0.8601186370533866,0.8139165009940358,1.0,20405,7663,7249,7545,softimpute_cat,group,42,A,0.5,50,0.35,64,0.02,1200,
0.7796663767886789,0.8354794984750932,0.730843337779754,0.7660366947165126,0.7326706428098079,0.9685501761712124,20405,7663,7249,7545,knn_bin,group,42,A,0.5,50,0.35,64,0.02,1200,
0.7775987725354815,0.8059796437659033,0.7511486586631095,0.7929369568216306,0.7505632869449966,1.0,20405,7663,7249,7545,knn_cat,group,42,A,0.5,50,0.35,64,0.02,1200,
0.8360189573459715,0.8993881713120326,0.78099173553719,0.8126210905065043,0.7852038115404976,0.9579799034320762,20417,7663,7226,7556,softimpute_bin,group,43,A,0.5,50,0.35,64,0.02,1200,
0.8332053448011059,0.8685558757604868,0.8006198347107438,0.8557985053971768,0.8078348332451032,1.0,20417,7663,7226,7556,softimpute_cat,group,43,A,0.5,50,0.35,64,0.02,1200,
0.7744491995561896,0.8363574118452585,0.7210743801652892,0.7618322723498477,0.7268395976707253,0.9706381312801776,20417,7663,7226,7556,knn_bin,group,43,A,0.5,50,0.35,64,0.02,1200,
0.778510116492949,0.8097895408163265,0.7495572609208973,0.7931082203155273,0.7480148226574908,1.0,20417,7663,7226,7556,knn_cat,group,43,A,0.5,50,0.35,64,0.02,1200,
0.8363809071479459,0.9019976096977976,0.7796635182998819,0.8213543830494391,0.7896410120545768,0.9638522771760408,20416,7663,7221,7549,softimpute_bin,group,44,A,0.5,50,0.35,64,0.02,1200,
0.8360983102918587,0.8717168481742473,0.8032762691853601,0.8606841157734386,0.8118956153132866,1.0,20416,7663,7221,7549,softimpute_cat,group,44,A,0.5,50,0.35,64,0.02,1200,
0.7822299651567943,0.8439849624060151,0.7288961038961039,0.7762082814014679,0.7378460723274606,0.9735090695550046,20416,7663,7221,7549,knn_bin,group,44,A,0.5,50,0.35,64,0.02,1200,
0.7810018326206475,0.8091772151898734,0.7547225501770957,0.7989198171998338,0.7529474102530136,1.0,20416,7663,7221,7549,knn_cat,group,44,A,0.5,50,0.35,64,0.02,1200,
0.8318992989165073,0.8947729220222793,0.7772815244900998,0.8142718849398424,0.785307743216413,0.9631997912044892,20417,7663,7231,7555,softimpute_bin,group,45,A,0.5,50,0.35,64,0.02,1200,
0.8304914744232699,0.8619474695707879,0.8012505582849486,0.8524408795463975,0.8042356055592323,1.0,20417,7663,7231,7555,softimpute_cat,group,45,A,0.5,50,0.35,64,0.02,1200,
0.7866401590457257,0.8443154660293616,0.7363406282566622,0.77776241183792,0.742686962276638,0.9707686284744876,20417,7663,7231,7555,knn_bin,group,45,A,0.5,50,0.35,64,0.02,1200,
0.7856538135919341,0.8132568514977693,0.7598630340926008,0.8027935278661319,0.757643944407677,1.0,20417,7663,7231,7555,knn_cat,group,45,A,0.5,50,0.35,64,0.02,1200,
0.8362637362637363,0.898465171192444,0.7821171634121274,0.8154422996805999,0.7850615812475169,0.9592848753751796,20412,7663,7201,7551,softimpute_bin,group,46,A,0.5,50,0.35,64,0.02,1200,
0.8346949683133542,0.8695513840279987,0.8025253266774336,0.8583530065268713,0.8067805588663753,1.0,20412,7663,7201,7551,softimpute_cat,group,46,A,0.5,50,0.35,64,0.02,1200,
0.7823760818253345,0.8428547211391761,0.7299955953604463,0.773364810442994,0.7350019864918553,0.969202662142764,20412,7663,7201,7551,knn_bin,group,46,A,0.5,50,0.35,64,0.02,1200,
