config,protocol,family,metric,bin_mean,bin_sd,cat_mean,cat_sd,delta,delta_sd,wins,n_seeds,t,p
A,cell,softimpute,cell_F1,0.9161910380059437,0.0041206226433123825,0.8979740875961795,0.005095698138294569,-0.018216950409764187,0.0034432548006555893,0,5,-11.830184467097709,0.00029226426602794694
A,cell,softimpute,group_acc,0.9619042322843754,0.0025326988572460475,0.9730185109317466,0.0017312703143278416,0.01111427864737129,0.0025711365459164214,5,5,9.665874267108832,0.0006409378694553607
A,cell,softimpute,exact_profile,0.9402948790983094,0.0020464719958514,0.927754882037026,0.0030806199005848052,-0.012539997061283592,0.0021059895886671688,0,5,-13.314541542640647,0.0001839451533358644
A,cell,softimpute,validity,0.9628604984992822,0.0032736333794424473,0.9917786767584499,0.0005137679677678862,0.028918178259167426,0.0030972128330630988,5,5,20.87780719576966,3.110272068802021e-05
A,cell,knn,cell_F1,0.8245685979212393,0.0035215619273148255,0.8497304235002675,0.004702839484478598,0.025161825579028286,0.0040053878922106535,5,5,14.046967221855578,0.00014903502316116165
A,cell,knn,group_acc,0.898439043806883,0.003860395061570248,0.9402638042916465,0.0024937984529192817,0.04182476048476336,0.0029976371410572558,5,5,31.198908735695973,6.289628221750565e-06
A,cell,knn,exact_profile,0.8778071662894057,0.0039039833171687862,0.8967357221213152,0.0031743715915273666,0.018928555831909423,0.0031924753059311734,5,5,13.257906013372951,0.00018704952550837475
A,cell,knn,validity,0.949001696463526,0.0021191233620342694,0.9917786767584499,0.0005137679677678862,0.04277698029492374,0.0018897327500164887,5,5,50.61680590061419,9.116813797658138e-07
A,cell,mf,cell_F1,0.8900528025282262,0.004666922955730441,0.03442379522238942,0.004658526861343897,-0.8556290073058366,0.00893114615029539,0,5,-214.22162303247447,2.848622764735597e-09
A,cell,mf,group_acc,0.9329392344559974,0.001756773756717356,0.6539169621721025,0.009911634611311686,-0.27902227228389487,0.010531404106462847,0,5,-59.24307544901496,4.861568241757336e-07
A,cell,mf,exact_profile,0.9181564287847497,0.0021598237564002397,0.623905427422482,0.00942363087234211,-0.29425100136226773,0.01021964202040991,0,5,-64.38241576166509,3.4864545875179895e-07
A,cell,mf,validity,0.9410674670494584,0.001978227280348349,0.9917786767584499,0.0005137679677678862,0.0507112097089913,0.0018969283314984153,5,5,59.777541537892624,4.690177068156302e-07
A,group,softimpute,cell_F1,0.8355212783425007,0.0020599611244257157,0.8348235637548264,0.0033951094379825477,-0.0006977145876744695,0.0020422714089936723,1,5,-0.7639225815251007,0.48748755456448245
A,group,softimpute,group_acc,0.8156017749240068,0.0033695688084795835,0.8574790288594543,0.003398935793551124,0.04187725393544757,0.0030976961770968607,5,5,30.2290415706425,7.133323738605178e-06
A,group,softimpute,exact_profile,0.7865511132433449,0.0020067433166733165,0.8089326227956066,0.00392163417876065,0.022381509552261723,0.00266428305115492,5,5,18.784256716351432,4.7294859060690285e-05
A,group,softimpute,validity,0.9608769411457654,0.00254117947428177,1.0,0.0,0.039123058854234574,0.00254117947428177,5,5,34.42567515248765,4.247978413263704e-06
A,group,knn,cell_F1,0.7810723564745446,0.004468869251985994,0.780925718425219,0.003167998500234343,-0.0001466380493255981,0.0024187743046606464,1,5,-0.13556148903525242,0.898716265055938
A,group,knn,group_acc,0.7710408941497484,0.0068396272815273605,0.7975850331449713,0.004393780959730246,0.026544138995222878,0.003144889974475892,5,5,18.87331502190724,4.641663681976983e-05
A,group,knn,exact_profile,0.7350090523152975,0.005899304663577174,0.7521980830261226,0.0035543407153723035,0.017189030710825136,0.0025427479120613337,5,5,15.115867740730023,0.00011164840997909458
A,group,knn,validity,0.9705337335247293,0.0019121290372512147,1.0,0.0,0.02946626647527075,0.001912129037251215,5,5,34.45822619614981,4.231994503448395e-06
A,group,mf,cell_F1,0.8126805339185633,0.004710223568232226,0.804930820651981,0.004283356457547092,-0.00774971326658247,0.005230355959412852,1,5,-3.3131369651857603,0.029567560688395028
A,group,mf,group_acc,0.7764295505575631,0.0056515049875209425,0.8352218303160219,0.0038045518397584774,0.05879227975845869,0.003436486580155225,5,5,38.25521532697513,2.788770939857656e-06
