domain,n_features,spearman_rho
Phonology,18,0.14110190820482316
Morphology,10,0.12388688051983712
Nominal,28,0.12083466800896904
ComplexSentence,16,0.10064522033588068
Verbal,23,0.06556994463002794
SimpleClause,24,0.039692490733537734
Lexicon,3,-0.007637395323296574
Other,30,-0.03913879101267561
WordOrder,17,-0.0528577312039537
