representation,spearman_rho,spearman_rho_std,kendall_tau,kendall_tau_std,regret@1,regret@1_std,top1_acc,top1_acc_std,top3_acc,top3_acc_std,pairwise_acc,pairwise_acc_std,n_sources,ndcg@1,ndcg@1_std,ndcg@3,ndcg@3_std,ndcg@5,ndcg@5_std,n_targets
wals_s44_C,0.05931284437687183,0.2571332724370961,0.04396750417513261,0.1812461866590858,0.3570235303682062,0.15401646425390128,0.024390243902439025,0.1542574468374819,0.21951219512195122,0.4139161645970034,0.524108818011257,0.08987492378443156,40.0,1.0,0.0,0.9653734984473016,0.03389400200842449,0.9409243032210964,0.038179686864129196,41
grambank_s44_B_masked70,0.05430833295199745,0.3176217524310262,0.03558474046278925,0.22100472725714643,0.3906714567136046,0.17190604537165205,0.024390243902439025,0.1542574468374819,0.2926829268292683,0.4549941001506739,0.5177923702313946,0.11050236362857321,40.0,1.0,0.0,0.9460290870693012,0.054257331169953245,0.9361624017131696,0.05055587341161482,41
wals_s44_B_masked30,0.05143000960966458,0.2652540898031863,0.04046278924327705,0.187632999131428,0.3534123912023985,0.17008959933713738,0.024390243902439025,0.1542574468374819,0.2682926829268293,0.4430707835264622,0.5202313946216385,0.093816499565714,40.0,1.0,0.0,0.9602038912636939,0.04354033215610687,0.938834879684264,0.04771823914153556,41
wals_s44_B,0.029757927973275984,0.2784735725828931,0.023702313946216382,0.19830812143485615,0.3360205617446397,0.15628277208647698,0.024390243902439025,0.1542574468374819,0.24390243902439024,0.4294345576014392,0.5118511569731081,0.09915406071742808,40.0,1.0,0.0,0.9668195780641805,0.03670529274996146,0.949642241902,0.03821664602582366,41
wals_s44_A,0.019411522445430842,0.24631776170267702,0.018636647904940587,0.17495577551165906,0.3478703584499937,0.1726474755427361,0.04878048780487805,0.2154088016177524,0.3902439024390244,0.4878048780487805,0.5093183239524703,0.08747788775582953,40.0,1.0,0.0,0.957639331731298,0.050154567778888604,0.9488471716726895,0.041547497567865924,41
grambank_s44_C,0.015912319099189897,0.2819103820240061,0.010753530860863171,0.19968219098887,0.3919927578740632,0.14158886773682164,0.0,0.0,0.0975609756097561,0.29672012342918147,0.5106941838649156,0.09848990894269076,40.0,1.0,0.0,0.9541037395142491,0.04538775365903938,0.9360806233758089,0.04666190361575393,41
wals_s44_B_masked50,0.0033450784789273748,0.2598147870027951,0.004502814258911819,0.18187792262727648,0.3435947822358763,0.1494366061652783,0.04878048780487805,0.2154088016177524,0.3170731707317073,0.4653361958131442,0.5022514071294558,0.09093896131363824,40.0,1.0,0.0,0.9601342092976158,0.03846974101780652,0.9430039065761733,0.03676595842239425,41
wals_s44_B_masked70,7.987994707059362e-05,0.26241682981335157,0.007909127917600928,0.18493109331494792,0.39489565762469675,0.1509810278893131,0.0,0.0,0.17073170731707318,0.37627435659857345,0.5039399624765478,0.0924766495577064,40.0,1.0,0.0,0.9542169584880932,0.043327970495857036,0.9352146692916015,0.04743499288061037,41
random,-0.0004667551365945215,0.17118007808374153,0.0011882426516572886,0.11803718785685784,0.4187714810840956,0.1525516181130591,0.024390243902439025,0.1542574468374819,0.2926829268292683,0.45499410015067393,0.5005941213258287,0.059018593928428925,40.0,1.0,0.0,0.9452045679056704,0.051268869016235605,0.9314773226125621,0.04163861814583926,41
grambank_s44_A,-0.019347458014917867,0.26927877881771867,-0.010819262038774233,0.18820643367858317,0.36335085985827686,0.14671539735715175,0.024390243902439025,0.1542574468374819,0.17073170731707318,0.37627435659857345,0.4945903689806129,0.09410321683929157,40.0,1.0,0.0,0.9671767254161056,0.03748108585154628,0.9413542725595054,0.051157863901982195,41
grambank_s44_B_masked30,-0.03162037248890313,0.2550507542837332,-0.021388367729831145,0.17838004809950192,0.35729698667208126,0.13459221642913183,0.0,0.0,0.1951219512195122,0.39629455632370536,0.48930581613508445,0.08919002404975096,40.0,1.0,0.0,0.9639436969986409,0.04340488626376976,0.9468166743826749,0.03966838361978106,41
joint_B_wals_grambank,-0.06346497048460167,0.26572502876170034,-0.04121325828642902,0.19122470980657677,0.35656592145674865,0.12144601693600851,0.024390243902439025,0.1542574468374819,0.1951219512195122,0.39629455632370536,0.4793933708567855,0.09561235490328839,40.0,1.0,0.0,0.9659300890098709,0.03660645747826752,0.9489663740513923,0.03574347460053739,41
grambank_s44_B_masked50,-0.06955566741408503,0.26446547177153623,-0.04640400250156348,0.18103753269759565,0.3840809667885328,0.13945999955185653,0.0,0.0,0.14634146341463414,0.35344821332169357,0.4767979987492182,0.09051876634879781,40.0,1.0,0.0,0.9572360193312183,0.03586149030968114,0.9397635040477026,0.04103139586233251,41
grambank_s44_B,-0.07875806525419851,0.2779809330549213,-0.05265791119449656,0.19514405913786043,0.34496024142080656,0.12827718247438158,0.0,0.0,0.21951219512195122,0.4139161645970034,0.47367104440275176,0.0975720295689302,40.0,1.0,0.0,0.9649239229501906,0.04234517952044883,0.9458025884171479,0.03646822728691502,41
