,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.5495309568480301,0.38717948717948725,0.3585736747529201,0.0,1.0,0.6935897435897436,40.0,1.0,0.9492701875305591,0.9400272458802863
copt1239,-0.37917448405253285,-0.26666666666666666,0.40767670466471684,0.0,0.0,0.36666666666666664,40.0,1.0,0.9533516636344662,0.958366938255878
czec1258,0.13696060037523455,0.08717948717948719,0.29071295479062464,0.0,0.0,0.5435897435897435,40.0,1.0,0.9997159788673349,0.9723141794090348
dani1285,0.2547842401500938,0.2025641025641026,0.7496747185608418,0.0,1.0,0.6012820512820513,40.0,1.0,0.7860800941761649,0.8234613538358969
dutc1256,-0.033020637898686686,-0.0025641025641025645,0.30282654230002226,0.0,0.0,0.4987179487179487,40.0,1.0,1.0,0.9882840842394777
faro1244,-0.3309568480300188,-0.21025641025641026,0.34816753926701577,0.0,0.0,0.39487179487179486,40.0,1.0,0.9821583037583544,0.9691204462820424
finn1318,0.17654784240150098,0.12307692307692308,0.39935250428489816,0.0,0.0,0.5615384615384615,40.0,1.0,0.9681331651012445,0.9370113033562967
hebr1245,-0.4433395872420263,-0.32564102564102565,0.5389624900239426,0.0,0.0,0.3371794871794872,40.0,1.0,0.9493633392820978,0.9564615849433965
hind1269,0.33733583489681057,0.22564102564102564,0.3921971535745808,0.0,1.0,0.6128205128205129,40.0,1.0,0.9058325081167494,0.9251520188444387
hung1274,0.20112570356472798,0.13846153846153847,0.3897058823529411,0.0,0.0,0.5692307692307692,40.0,1.0,0.9504471296009471,0.9479040436561879
icel1247,0.0275797373358349,0.01282051282051282,0.27557680631451115,0.0,0.0,0.5064102564102564,40.0,1.0,0.9791408125834163,0.9745442693125402
iris1253,0.06247654784240151,0.03846153846153847,0.4055111582717113,0.0,0.0,0.5192307692307693,40.0,1.0,0.9325976112062405,0.9398143559295002
ital1282,0.4069418386491558,0.2743589743589744,0.22328767123287674,0.0,0.0,0.6371794871794871,40.0,1.0,0.9897964792418454,0.9917026608544908
komi1268,0.13339587242026268,0.08974358974358974,0.6629752676264304,0.0,0.0,0.5448717948717948,40.0,1.0,0.8785700097624203,0.8535409217524693
kore1280,0.38780487804878055,0.25641025641025644,0.36057480141218007,0.0,1.0,0.6282051282051282,40.0,1.0,0.8959480374074799,0.916568943860795
latv1249,0.43189493433395876,0.28205128205128205,0.13319672131147536,0.0,0.0,0.6410256410256411,40.0,1.0,1.0,0.9933632061912295
lith1251,0.3705440900562853,0.2358974358974359,0.43238917450771175,0.0,0.0,0.617948717948718,40.0,1.0,0.9317111719854151,0.9405025606034252
malt1254,0.18255159474671676,0.1435897435897436,0.1600722578834754,0.0,1.0,0.5717948717948718,40.0,1.0,0.9829394601937678,0.9781566943594885
mand1415,-0.45422138836772985,-0.31538461538461543,0.5862712336396548,0.0,0.0,0.3423076923076923,40.0,1.0,0.9800392865370103,0.952999001216438
mara1378,0.29962476547842404,0.2435897435897436,0.7006106790542305,0.0,1.0,0.6217948717948718,40.0,1.0,0.8545585868613127,0.7861006605304176
mode1248,-0.03114446529080676,-0.01282051282051282,0.1600722578834754,0.0,0.0,0.4935897435897436,40.0,1.0,1.0,0.9788127836034193
nort2671,0.3232645403377111,0.22820512820512823,0.30560790360344925,0.0,0.0,0.6141025641025641,40.0,1.0,1.0,0.9656741160291925
nucl1235,0.3838649155722327,0.26153846153846155,0.3552275738972874,0.0,1.0,0.6307692307692307,40.0,1.0,0.9240567403734218,0.9326029875320708
nucl1301,0.23789868667917452,0.16410256410256413,0.3397727272727273,0.0,1.0,0.5820512820512821,40.0,1.0,0.9003499955853879,0.9121017352500121
nucl1347,-0.4981238273921202,-0.358974358974359,0.44178226145439264,0.0,0.0,0.32051282051282054,40.0,1.0,0.9865667626483912,0.9804889349730416
nucl1643,0.3388367729831145,0.2153846153846154,0.42450687387925884,0.0,0.0,0.6076923076923076,40.0,1.0,0.9622392024714533,0.882437229379769
poli1260,0.08292682926829269,0.0794871794871795,0.46909291425420463,0.0,1.0,0.5397435897435897,40.0,1.0,0.9202290244363107,0.9186994697840827
port1283,-0.3180112570356473,-0.2076923076923077,0.44420672409002504,0.0,0.0,0.39615384615384613,40.0,1.0,0.9658882778163723,0.961930414515384
russ1263,0.3562851782363978,0.2358974358974359,0.31070721747626323,0.0,0.0,0.617948717948718,40.0,1.0,1.0,0.9625764981369471
