branch,macroarea,in_branch_frac,repeat,model,f1
Atlantic-Congo,Africa,0.0,4,T-CF,0.49268022934311245
Atlantic-Congo,Africa,0.0,4,Learned,0.5033906691114409
Atlantic-Congo,Africa,0.01,0,Freq,0.7348001979103
Atlantic-Congo,Africa,0.01,0,T-CF,0.6360196746121831
Atlantic-Congo,Africa,0.01,0,Learned,0.6287435606391338
Atlantic-Congo,Africa,0.01,1,Freq,0.7327628859978462
Atlantic-Congo,Africa,0.01,1,T-CF,0.6200413283273669
Atlantic-Congo,Africa,0.01,1,Learned,0.6116883494863063
Atlantic-Congo,Africa,0.01,2,Freq,0.7338688553217497
Atlantic-Congo,Africa,0.01,2,T-CF,0.6113390960156
Atlantic-Congo,Africa,0.01,2,Learned,0.6121831252364737
Atlantic-Congo,Africa,0.01,3,Freq,0.7349166157338689
Atlantic-Congo,Africa,0.01,3,T-CF,0.6195465525771996
Atlantic-Congo,Africa,0.01,3,Learned,0.6178293896795599
Atlantic-Congo,Africa,0.01,4,Freq,0.7348001979103
Atlantic-Congo,Africa,0.01,4,T-CF,0.643092057393987
Atlantic-Congo,Africa,0.01,4,Learned,0.6345935562734655
Atlantic-Congo,Africa,0.05,0,Freq,0.7348001979103
Atlantic-Congo,Africa,0.05,0,T-CF,0.7040658924881399
Atlantic-Congo,Africa,0.05,0,Learned,0.6919293343810937
Atlantic-Congo,Africa,0.05,1,Freq,0.7327628859978462
Atlantic-Congo,Africa,0.05,1,T-CF,0.7024942518699613
Atlantic-Congo,Africa,0.05,1,Learned,0.6958293314706482
Atlantic-Congo,Africa,0.05,2,Freq,0.7338688553217497
Atlantic-Congo,Africa,0.05,2,T-CF,0.7031054454436975
Atlantic-Congo,Africa,0.05,2,Learned,0.7004569399575075
Atlantic-Congo,Africa,0.05,3,Freq,0.7349166157338689
Atlantic-Congo,Africa,0.05,3,T-CF,0.6960330626618936
Atlantic-Congo,Africa,0.05,3,Learned,0.6910270962484356
Atlantic-Congo,Africa,0.05,4,Freq,0.7348001979103
Atlantic-Congo,Africa,0.05,4,T-CF,0.7146308099770075
Atlantic-Congo,Africa,0.05,4,Learned,0.7025815652376379
Atlantic-Congo,Africa,0.1,0,Freq,0.7348001979103
Atlantic-Congo,Africa,0.1,0,T-CF,0.7260688611426409
Atlantic-Congo,Africa,0.1,0,Learned,0.7188218516254838
Atlantic-Congo,Africa,0.1,1,Freq,0.7327628859978462
Atlantic-Congo,Africa,0.1,1,T-CF,0.727553188393143
Atlantic-Congo,Africa,0.1,1,Learned,0.7170464798160598
Atlantic-Congo,Africa,0.1,2,Freq,0.7338688553217497
Atlantic-Congo,Africa,0.1,2,T-CF,0.7216740883029191
Atlantic-Congo,Africa,0.1,2,Learned,0.7150673768153905
Atlantic-Congo,Africa,0.1,3,Freq,0.7349166157338689
Atlantic-Congo,Africa,0.1,3,T-CF,0.7198987164934951
Atlantic-Congo,Africa,0.1,3,Learned,0.7167554352571379
Atlantic-Congo,Africa,0.1,4,Freq,0.7348001979103
Atlantic-Congo,Africa,0.1,4,T-CF,0.7295031869379202
Atlantic-Congo,Africa,0.1,4,Learned,0.7251084140981985
Atlantic-Congo,Africa,0.2,0,Freq,0.7397188509560814
Atlantic-Congo,Africa,0.2,0,T-CF,0.7255449809365814
Atlantic-Congo,Africa,0.2,0,Learned,0.7362554207049099
Atlantic-Congo,Africa,0.2,1,Freq,0.7375651212200588
Atlantic-Congo,Africa,0.2,1,T-CF,0.733752437498181
Atlantic-Congo,Africa,0.2,1,Learned,0.7336942285863965
Atlantic-Congo,Africa,0.2,2,Freq,0.7338688553217497
Atlantic-Congo,Africa,0.2,2,T-CF,0.7359352716900958
Atlantic-Congo,Africa,0.2,2,Learned,0.735818853866527
Atlantic-Congo,Africa,0.2,3,Freq,0.7349166157338689
Atlantic-Congo,Africa,0.2,3,T-CF,0.737303181117029
Atlantic-Congo,Africa,0.2,3,Learned,0.7400681044267877
Atlantic-Congo,Africa,0.2,4,Freq,0.7348001979103
Atlantic-Congo,Africa,0.2,4,T-CF,0.7306091562618237
Atlantic-Congo,Africa,0.2,4,Learned,0.7349166157338689
Sino-Tibetan,Eurasia,0.0,0,Freq,0.7528102775866025
Sino-Tibetan,Eurasia,0.0,0,T-CF,0.48420891641813874
Sino-Tibetan,Eurasia,0.0,0,Learned,0.4827177487191252
Sino-Tibetan,Eurasia,0.0,1,Freq,0.7545690907700543
Sino-Tibetan,Eurasia,0.0,1,T-CF,0.5025617496367668
Sino-Tibetan,Eurasia,0.0,1,Learned,0.4939588590655349
Sino-Tibetan,Eurasia,0.0,2,Freq,0.7537661543167393
Sino-Tibetan,Eurasia,0.0,2,T-CF,0.513917565190793
Sino-Tibetan,Eurasia,0.0,2,Learned,0.4757589661237287
Sino-Tibetan,Eurasia,0.0,3,Freq,0.7521220463409038
Sino-Tibetan,Eurasia,0.0,3,T-CF,0.48749713236980957
Sino-Tibetan,Eurasia,0.0,3,Learned,0.5076087787718896
Sino-Tibetan,Eurasia,0.0,4,Freq,0.7541102699395886
Sino-Tibetan,Eurasia,0.0,4,T-CF,0.4903647625602202
Sino-Tibetan,Eurasia,0.0,4,Learned,0.51166169610767
Sino-Tibetan,Eurasia,0.01,0,Freq,0.7528102775866025
Sino-Tibetan,Eurasia,0.01,0,T-CF,0.6599372944865031
Sino-Tibetan,Eurasia,0.01,0,Learned,0.6643725625143382
Sino-Tibetan,Eurasia,0.01,1,Freq,0.7545690907700543
Sino-Tibetan,Eurasia,0.01,1,T-CF,0.669993117687543
Sino-Tibetan,Eurasia,0.01,1,Learned,0.6665519614590503
Sino-Tibetan,Eurasia,0.01,2,Freq,0.7537661543167393
Sino-Tibetan,Eurasia,0.01,2,T-CF,0.673778389538885
Sino-Tibetan,Eurasia,0.01,2,Learned,0.6701842930335704
Sino-Tibetan,Eurasia,0.01,3,Freq,0.7521220463409038
Sino-Tibetan,Eurasia,0.01,3,T-CF,0.6709872294868854
Sino-Tibetan,Eurasia,0.01,3,Learned,0.6749254416150493
Sino-Tibetan,Eurasia,0.01,4,Freq,0.7541102699395886
Sino-Tibetan,Eurasia,0.01,4,T-CF,0.6590196528255716
Sino-Tibetan,Eurasia,0.01,4,Learned,0.6569931941576814
Sino-Tibetan,Eurasia,0.05,0,Freq,0.7528102775866025
Sino-Tibetan,Eurasia,0.05,0,T-CF,0.7441309168769595
Sino-Tibetan,Eurasia,0.05,0,Learned,0.748107364074329
Sino-Tibetan,Eurasia,0.05,1,Freq,0.7545690907700543
Sino-Tibetan,Eurasia,0.05,1,T-CF,0.7666513726389845
Sino-Tibetan,Eurasia,0.05,1,Learned,0.7625219851647932
Sino-Tibetan,Eurasia,0.05,2,Freq,0.7537661543167393
Sino-Tibetan,Eurasia,0.05,2,T-CF,0.7505161734342739
Sino-Tibetan,Eurasia,0.05,2,Learned,0.7570543702684102
Sino-Tibetan,Eurasia,0.05,3,Freq,0.7521220463409038
Sino-Tibetan,Eurasia,0.05,3,T-CF,0.7571308404068211
Sino-Tibetan,Eurasia,0.05,3,Learned,0.7569014299915883
Sino-Tibetan,Eurasia,0.05,4,Freq,0.7541102699395886
Sino-Tibetan,Eurasia,0.05,4,T-CF,0.7560984935382733
Sino-Tibetan,Eurasia,0.05,4,Learned,0.7571308404068211
