epoch,train_loss,val_loss,mean_lang_emb_norm,mean_featvalue_emb_norm
1,0.5637857630678291,0.5381190793154991,0.9105307459831238,0.7874760031700134
2,0.5358943177172861,0.536840604184425,0.9212234616279602,0.7915979623794556
3,0.5352341467502787,0.536902126792359,0.9214035868644714,0.7906941771507263
4,0.5343353254251777,0.5358746153851078,0.9294257760047913,0.8121277093887329
5,0.5324675622104234,0.5331376068396111,0.9437421560287476,0.8321497440338135
6,0.5300913882238224,0.5314681223810536,0.9517465233802795,0.8416469693183899
7,0.5286140436208099,0.5295622797861491,0.9591853022575378,0.8563430905342102
8,0.5278844879027954,0.5302551213192613,0.9602586627006531,0.8522864580154419
9,0.5274761480871772,0.5282546326722184,0.964994490146637,0.8587633371353149
10,0.5272777894887191,0.5296634696934321,0.9636381268501282,0.8535543084144592
11,0.527225067111637,0.5293268900211543,0.9638247489929199,0.8508936166763306
12,0.5271159161844189,0.5285081663360335,0.9625529646873474,0.8576712012290955
13,0.5271246271221807,0.5282988560526338,0.9654083847999573,0.8649022579193115
14,0.5269994545953395,0.5289100220758621,0.9670289158821106,0.86287921667099
15,0.526831581140678,0.5288001307069439,0.9646426439285278,0.8551361560821533
16,0.5269002158187334,0.5286195331240353,0.9673495888710022,0.8643687963485718
17,0.5265786171381893,0.528707303004722,0.9633044004440308,0.8547283411026001
18,0.5264595016531136,0.5287330326152174,0.9643262028694153,0.8535308241844177
19,0.526611541550354,0.5281626855673855,0.965556800365448,0.8604516983032227
20,0.5264315151277941,0.5288933442063528,0.9665141701698303,0.8590288162231445
21,0.5261839818688018,0.5284813487366454,0.9670251607894897,0.8589728474617004
22,0.5262972995430345,0.5271861181683737,0.9709679484367371,0.8651982545852661
23,0.526085718775714,0.5268901876390797,0.9696246385574341,0.8689618110656738
24,0.5257282993175237,0.5284320940710094,0.9674703478813171,0.8584994673728943
25,0.5257793122879835,0.5279827375118047,0.9693533182144165,0.8638474345207214
26,0.5253797453055918,0.5285763928335007,0.9669965505599976,0.8595726490020752
27,0.5255575617096673,0.5273453340138474,0.9709522128105164,0.8666208386421204
28,0.5253335800568191,0.5274044381429072,0.9703122973442078,0.8634973764419556
29,0.5251964401564078,0.5280881609818707,0.9682356715202332,0.859383225440979
30,0.525227528500726,0.5275933599635346,0.9683663845062256,0.8649359345436096
31,0.5251323297936635,0.5277943970405892,0.9658713340759277,0.8570969700813293
32,0.5251847985666838,0.5276600048966604,0.9722488522529602,0.8676941394805908
33,0.5246816664614635,0.5279870335369894,0.9676907062530518,0.8614113926887512
