domain,n_features,spearman_rho
Nominal,6,0.0650482771244223
WordOrder,32,0.028430879055507258
Other,76,0.015984075412986784
Verbal,26,-0.0005536997208621303
ClauseStructure,20,-0.0020820939916716286
NominalPhrase,32,-0.025772205189218876
