epoch,train_loss,val_loss,mean_lang_emb_norm,mean_featvalue_emb_norm
1,0.5027057187948953,0.4527859048409896,1.073656439781189,0.9107642769813538
2,0.45309867973857965,0.44374565969813956,1.1190530061721802,0.9357748031616211
3,0.4457917013851004,0.441164400360801,1.1355476379394531,0.9517526626586914
4,0.4423489077801948,0.43714495355432686,1.151953935623169,0.9655370712280273
5,0.44134682036780576,0.4366409117525274,1.1545066833496094,0.9718960523605347
6,0.44048631733895033,0.4368918473070318,1.1588159799575806,0.9744006991386414
7,0.44024910563578434,0.4362588145516135,1.157631754875183,0.9742717146873474
8,0.4402646778968845,0.43682780807668514,1.1584999561309814,0.9724504947662354
9,0.4404103957759111,0.435565156286413,1.159214735031128,0.9713449478149414
10,0.4404835469757683,0.43536865331909874,1.1593464612960815,0.9770123958587646
11,0.4401240180153243,0.43671899112788115,1.157120704650879,0.973946213722229
12,0.440345035467244,0.43634366393089297,1.1606543064117432,0.969403862953186
13,0.4402176598617156,0.4368696229024367,1.1591079235076904,0.9748252630233765
14,0.44027958891582464,0.43500195145606996,1.1614700555801392,0.9811518788337708
15,0.4400874494131786,0.43664359179410067,1.1609621047973633,0.9764288067817688
16,0.44006790490984316,0.4371188759803772,1.1570892333984375,0.9711154103279114
17,0.44006283220092524,0.43677847331220454,1.1560314893722534,0.970243513584137
18,0.4400407627257137,0.4369578415697271,1.1570147275924683,0.9686244130134583
19,0.4399790696919666,0.4372819488698786,1.1576013565063477,0.9695190787315369
20,0.4400852592538934,0.43698959784074265,1.1557095050811768,0.9691897630691528
21,0.44001886655927536,0.43744242949919265,1.1566660404205322,0.9724158048629761
22,0.4399150958391671,0.4358877805146304,1.1583482027053833,0.9726961255073547
23,0.4398550641685617,0.435976243019104,1.1548051834106445,0.9671510457992554
24,0.4396730330939365,0.43679532571272417,1.1565674543380737,0.9729747772216797
