,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.579549718574109,0.40769230769230774,0.2281935181935183,0.0,0.0,0.7038461538461539,40.0,1.0,0.9818769259065824,0.9577089364585231
copt1239,-0.403189493433396,-0.3025641025641026,0.40767670466471684,0.0,0.0,0.3487179487179487,40.0,1.0,0.9544408745054839,0.9628357907843667
czec1258,0.36960600375234526,0.2358974358974359,0.29076804076804075,0.0,0.0,0.617948717948718,40.0,1.0,0.9846945014454059,0.9793325995244943
dani1285,0.3339587242026267,0.2153846153846154,0.2044629299531262,0.0,1.0,0.6076923076923076,40.0,1.0,0.9464570864689921,0.9590647971559982
dutc1256,-0.010506566604127581,-0.015384615384615385,0.5235756507829392,0.0,0.0,0.49230769230769234,40.0,1.0,0.9853074735222096,0.8806734205412314
faro1244,-0.37448405253283307,-0.24102564102564103,0.4339887640449438,0.0,0.0,0.37948717948717947,40.0,1.0,0.9282173038485775,0.9320656678644237
finn1318,0.07354596622889306,0.05897435897435897,0.35799088583306693,0.0,0.0,0.5294871794871795,40.0,1.0,0.9506373556824927,0.9118913805766123
hebr1245,-0.31181988742964356,-0.20512820512820512,0.38765928906773983,0.0,0.0,0.3974358974358974,40.0,1.0,0.9966319963505021,0.8924164201699492
hind1269,0.34652908067542215,0.23846153846153847,0.3921971535745808,0.0,0.0,0.6192307692307693,40.0,1.0,0.9477791277728794,0.9168374806361922
hung1274,-0.008818011257035649,-0.0025641025641025645,0.2121214966433501,0.0,0.0,0.4987179487179487,40.0,1.0,0.9992748768628122,0.9924753938352379
icel1247,-0.07636022514071296,-0.05384615384615385,0.5378905041756883,0.0,0.0,0.47307692307692306,40.0,1.0,0.8989432192109298,0.9145115242176325
iris1253,-0.12270168855534712,-0.08205128205128207,0.5343586022105615,0.0,0.0,0.45897435897435895,40.0,1.0,0.9397644879773763,0.953034290582903
ital1282,-0.09943714821763605,-0.05897435897435897,0.3203680382430801,0.0,0.0,0.4705128205128205,40.0,1.0,0.96776001821678,0.9646814435722162
komi1268,0.17786116322701692,0.12051282051282051,0.0,1.0,1.0,0.5602564102564103,40.0,1.0,0.9953979006082246,0.9900287125190403
kore1280,0.19831144465290812,0.11025641025641025,0.2954009433962266,0.0,0.0,0.5551282051282052,40.0,1.0,1.0,0.9093439903987933
latv1249,0.3287054409005629,0.19487179487179487,0.13319672131147536,0.0,0.0,0.5974358974358974,40.0,1.0,0.9913793163987619,0.9829600693447825
lith1251,0.2915572232645404,0.19743589743589746,0.29655419385643794,0.0,0.0,0.5987179487179487,40.0,1.0,0.9709115355151269,0.9773814466431923
