,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.14409005628517826,0.10512820512820513,0.20853314527503547,0.0,0.0,0.5525641025641026,40.0,1.0,0.9906442704745733,0.9871637806777405
copt1239,-0.22026266416510323,-0.16410256410256413,0.4291045135097434,0.0,0.0,0.41794871794871796,40.0,1.0,0.9092065215005148,0.9213501817179728
czec1258,0.11913696060037525,0.06923076923076923,0.24199314574314587,0.0,0.0,0.5346153846153846,40.0,1.0,1.0,0.9940110200363435
dani1285,0.376172607879925,0.258974358974359,0.35595739410453314,0.0,0.0,0.6294871794871795,40.0,1.0,0.9488098040117879,0.9542004155008983
dutc1256,0.0975609756097561,0.07435897435897437,0.37262843112735405,0.0,0.0,0.5371794871794872,40.0,1.0,0.9814984164705609,0.9832204515541761
faro1244,-0.15966228893058165,-0.09230769230769231,0.23329621380846333,0.0,0.0,0.45384615384615384,40.0,1.0,1.0,0.9909466004011122
finn1318,-0.07110694183864917,-0.03846153846153847,0.20072909762333116,0.0,0.0,0.4807692307692308,40.0,1.0,1.0,0.9994194249012472
hebr1245,-0.33001876172607886,-0.22564102564102564,0.5720202874049027,0.0,0.0,0.3871794871794872,40.0,1.0,0.9868898722535899,0.9489886734852023
hind1269,0.3921200750469044,0.2871794871794872,0.44193222019725564,0.0,0.0,0.6435897435897436,40.0,1.0,0.9167593641422034,0.8724305732469083
hung1274,0.23846153846153853,0.16153846153846155,0.3056487168858576,0.0,0.0,0.5807692307692308,40.0,1.0,0.9708321975811932,0.9527538110622192
icel1247,0.07560975609756097,0.04871794871794872,0.27557680631451115,0.0,0.0,0.5243589743589744,40.0,1.0,0.9859130579209078,0.9829543679066851
iris1253,-0.3091932457786117,-0.2076923076923077,0.5288872628443004,0.0,0.0,0.39615384615384613,40.0,1.0,0.939654267350613,0.9465432273285338
ital1282,-0.2600375234521577,-0.16410256410256413,0.43519093900665806,0.0,0.0,0.41794871794871796,40.0,1.0,1.0,0.931411841970922
komi1268,0.15290806754221392,0.10512820512820513,0.42850044365572326,0.0,0.0,0.5525641025641026,40.0,1.0,0.928654526927332,0.945451799377949
kore1280,0.40956848030018767,0.30769230769230776,0.36057480141218007,0.0,1.0,0.6538461538461539,40.0,1.0,0.9021610738092207,0.8889853472219571
latv1249,-0.09493433395872422,-0.05384615384615385,0.2787264723740133,0.0,0.0,0.47307692307692306,40.0,1.0,0.9886614787821206,0.9535983601501982
lith1251,-0.03564727954971858,-0.0358974358974359,0.39350616342610245,0.0,0.0,0.48205128205128206,40.0,1.0,0.9559733108219176,0.9432564859127703
malt1254,-0.2155722326454034,-0.1564102564102564,0.32982787821497506,0.0,0.0,0.4217948717948718,40.0,1.0,0.993402929708227,0.9800834607923848
mand1415,-0.17842401500938088,-0.12820512820512822,0.5435825435825438,0.0,0.0,0.4358974358974359,40.0,1.0,0.9711053867323568,0.8814097072515354
mara1378,0.4799249530956849,0.36923076923076925,0.6141157586630158,0.0,1.0,0.6846153846153846,40.0,1.0,0.8813291663357564,0.8253173356656557
mode1248,0.00300187617260788,0.01282051282051282,0.4765837574826339,0.0,0.0,0.5064102564102564,40.0,1.0,0.9484396111606496,0.903843386910333
nort2671,-0.1131332082551595,-0.05641025641025641,0.43351174176416907,0.0,0.0,0.4717948717948718,40.0,1.0,0.916775565277364,0.9315040415157658
nucl1235,0.3906191369606004,0.27179487179487183,0.49596013771864556,0.0,1.0,0.6358974358974359,40.0,1.0,0.8723012984111616,0.8833321071155926
nucl1301,0.3170731707317073,0.22564102564102564,0.05610985945713973,0.0,1.0,0.6128205128205129,40.0,1.0,0.9661438425387949,0.9679192631506713
nucl1347,-0.20844277673545966,-0.14102564102564102,0.3593099744932205,0.0,0.0,0.42948717948717946,40.0,1.0,1.0,0.9620840822121726
nucl1643,0.2711069418386492,0.21025641025641026,0.5625520110957004,0.0,1.0,0.6051282051282051,40.0,1.0,0.8566676037951668,0.8762932712772524
poli1260,-0.1153846153846154,-0.06923076923076923,0.37593984962406013,0.0,0.0,0.4653846153846154,40.0,1.0,0.9724571924759046,0.9678800428691471
port1283,-0.23489681050656663,-0.1564102564102564,0.5067947046434662,0.0,0.0,0.4217948717948718,40.0,1.0,0.9666374249850687,0.8943024686443569
russ1263,-0.13208255159474674,-0.08717948717948719,0.5608397307486531,0.0,0.0,0.4564102564102564,40.0,1.0,0.906890900214333,0.8486785891541799
slov1268,-0.036022514071294566,-0.04871794871794872,0.21991522820812096,0.0,0.0,0.4756410256410256,40.0,1.0,1.0,0.9774915990499023
stan1289,-0.22439024390243903,-0.1512820512820513,0.3178082191780823,0.0,0.0,0.42435897435897435,40.0,1.0,0.9365718130120008,0.9324639967798253
stan1290,-0.2799249530956849,-0.2,0.4033449068414105,0.0,0.0,0.4,40.0,1.0,0.9604028825186726,0.9494875823003064
stan1293,-0.21088180112570362,-0.16410256410256413,0.4979427659051831,0.0,0.0,0.41794871794871796,40.0,1.0,0.9923567822408075,0.9686968863246932
stan1318,-0.054033771106941846,0.007692307692307693,0.46086453999075355,0.0,0.0,0.5038461538461538,40.0,1.0,0.968222746515495,0.9758103003481803
swed1254,-0.2938086303939963,-0.2025641025641026,0.5520815487407915,0.0,0.0,0.39871794871794874,40.0,1.0,0.9547644463368454,0.9112371659731398
tami1289,0.3065666041275798,0.21794871794871798,0.0828237313592961,0.0,1.0,0.6089743589743589,40.0,1.0,0.9724735601264014,0.975082244952886
telu1262,0.43395872420262666,0.33846153846153854,0.33977272727272717,0.0,1.0,0.6692307692307692,40.0,1.0,0.9099497314164681,0.9280369681860671
ukra1253,-0.08986866791744841,-0.05641025641025641,0.06427748389462101,0.0,0.0,0.4717948717948718,40.0,1.0,1.0,1.0
viet1252,-0.33696060037523456,-0.2358974358974359,0.680561803368821,0.0,0.0,0.382051282051282,40.0,1.0,0.9040220759265302,0.8443397354587883
wels1247,-0.3343339587242027,-0.23076923076923078,0.554314937140422,0.0,0.0,0.38461538461538464,40.0,1.0,0.931779042463032,0.9289988458714393
west2369,-0.04878048780487805,-0.020512820512820516,0.3891263057929725,0.0,0.0,0.4897435897435897,40.0,1.0,0.9754039328130488,0.9794851530129574
