representation,spearman_rho,spearman_rho_std,kendall_tau,kendall_tau_std,regret@1,regret@1_std,top1_acc,top1_acc_std,top3_acc,top3_acc_std,pairwise_acc,pairwise_acc_std,n_sources,ndcg@1,ndcg@1_std,ndcg@3,ndcg@3_std,ndcg@5,ndcg@5_std,n_targets
grambank_s43_B_masked70,0.07946735002059215,0.29513676563460495,0.05303314571607254,0.20355985734108523,0.4149018424072591,0.15050640297472923,0.0,0.0,0.2682926829268293,0.4430707835264622,0.5265165728580362,0.10177992867054261,40.0,1.0,0.0,0.9381466150760156,0.054225371705633414,0.9265950526124898,0.04814317813301311,41
wals_s43_B_masked30,0.04936164371024575,0.2519171530572413,0.037585991244527835,0.17861721602993633,0.33707769635726487,0.17415688650514488,0.024390243902439025,0.1542574468374819,0.2926829268292683,0.4549941001506739,0.5187929956222639,0.08930860801496816,40.0,1.0,0.0,0.9643472239877329,0.04063997424192537,0.9454426672761502,0.043700327537574656,41
wals_s43_B,0.028453759209261898,0.26149953155471956,0.020700437773608506,0.18574492050213312,0.33382479117389224,0.15057653781915736,0.024390243902439025,0.1542574468374819,0.24390243902439024,0.4294345576014392,0.5103502188868042,0.09287246025106656,40.0,1.0,0.0,0.9691938656628077,0.0340110091209026,0.9436906637071396,0.03861819847904556,41
wals_s43_C,0.016894667472081053,0.2544958784137718,0.01463727301880708,0.18092397706560406,0.3394541612601722,0.12384050896904916,0.0,0.0,0.24390243902439024,0.4294345576014392,0.509631019387117,0.08924372625910654,40.0,1.0,0.0,0.9655187510638599,0.03243757771661502,0.9448933473000798,0.029829650648050612,41
grambank_s43_C,0.015212110542164517,0.3436864755595303,0.004516038944474216,0.24257528701033565,0.3621142029212877,0.14789813402017554,0.04878048780487805,0.2154088016177524,0.17073170731707318,0.37627435659857345,0.507285803627267,0.11861384878295202,40.0,1.0,0.0,0.9633108684551979,0.04695836082122292,0.943621733370947,0.04108880645836332,41
wals_s43_A,0.012332402873747319,0.22880111408005477,0.009505941213258293,0.16097337446629778,0.35134369523313064,0.16624169461478977,0.04878048780487805,0.2154088016177524,0.34146341463414637,0.47420053890789227,0.5047529706066292,0.08048668723314888,40.0,1.0,0.0,0.9608759036998649,0.041652495238703506,0.9451884291953028,0.041193855741160065,41
grambank_s43_B_masked30,0.002997300141856962,0.3003888193601356,0.0006253908692933095,0.20968651734619428,0.3501736304930047,0.1463491943657398,0.04878048780487805,0.2154088016177524,0.21951219512195122,0.4139161645970034,0.5003126954346467,0.10484325867309714,40.0,1.0,0.0,0.9629002310615304,0.03417007982459391,0.9433679695016777,0.03595019945719622,41
random,-0.0004667551365945215,0.17118007808374153,0.0011882426516572886,0.11803718785685784,0.4187714810840956,0.1525516181130591,0.024390243902439025,0.1542574468374819,0.2926829268292683,0.45499410015067393,0.5005941213258287,0.059018593928428925,40.0,1.0,0.0,0.9452045679056704,0.051268869016235605,0.9314773226125621,0.04163861814583926,41
wals_s43_B_masked50,-0.006777101542122364,0.23948341743317023,-0.0036272670419011904,0.16671137670352956,0.36402149844873527,0.15281789244161137,0.024390243902439025,0.1542574468374819,0.3170731707317073,0.4653361958131442,0.49818636647904946,0.08335568835176478,40.0,1.0,0.0,0.9571583551346642,0.04505316930301819,0.9400901699850758,0.039742147636595844,41
wals_s43_B_masked70,-0.009266462270626464,0.2474578495267496,-0.0003752345215759828,0.17678440421561914,0.38879922438767156,0.14693602758611246,0.0,0.0,0.17073170731707318,0.37627435659857345,0.49981238273921197,0.08839220210780956,40.0,1.0,0.0,0.9552135633426981,0.03910697394363977,0.9387918194456114,0.04494649029429119,41
grambank_s43_A,-0.016318125657804425,0.2742242906623203,-0.013383364602876799,0.19012310320717168,0.3878930179084128,0.16989176262783018,0.04878048780487805,0.2154088016177524,0.1951219512195122,0.39629455632370536,0.49330831769856165,0.09506155160358584,40.0,1.0,0.0,0.9548053593994307,0.04884202189349035,0.9463472873445452,0.04359962427757182,41
grambank_s43_B,-0.03221068045577267,0.3041047465447696,-0.023139462163852414,0.20985217765909986,0.36042217819120087,0.16072139746848077,0.07317073170731707,0.26041654273247095,0.21951219512195122,0.4139161645970034,0.48843026891807373,0.10492608882954993,40.0,1.0,0.0,0.9585117256993055,0.03980031628487532,0.9440761612629844,0.03720225415231835,41
grambank_s43_B_masked50,-0.04206287466251774,0.2562247387595958,-0.028205128205128202,0.17284409791130995,0.38834978155004535,0.16032920258659053,0.024390243902439025,0.1542574468374819,0.24390243902439024,0.4294345576014392,0.48589743589743595,0.08642204895565496,40.0,1.0,0.0,0.952791685079556,0.046943453009053275,0.9392610993684096,0.03852410600345887,41
joint_B_wals_grambank,-0.08746167574246101,0.2565661382502133,-0.05866166353971232,0.18414417238823438,0.3714043526783015,0.12844919516414735,0.0,0.0,0.21951219512195122,0.4139161645970034,0.4706691682301438,0.09207208619411719,40.0,1.0,0.0,0.9613128500197572,0.03974693272384641,0.945833880356234,0.035605177194111874,41
