representation,spearman_rho,spearman_rho_std,kendall_tau,kendall_tau_std,regret@1,regret@1_std,top1_acc,top1_acc_std,top3_acc,top3_acc_std,pairwise_acc,pairwise_acc_std,n_sources,ndcg@1,ndcg@1_std,ndcg@3,ndcg@3_std,ndcg@5,ndcg@5_std,n_targets
wals_s46_C,0.0806820671358034,0.2636265189623905,0.057111603379913695,0.18561230104291776,0.34355446325248407,0.14482413161574856,0.024390243902439025,0.1542574468374819,0.36585365853658536,0.4816687233690609,0.5301125703564727,0.09227994595118819,40.0,1.0,0.0,0.9616441416257367,0.034574245881410594,0.9440965855348227,0.03353061555727447,41
wals_s46_B_masked30,0.06296618313275065,0.26948988187705847,0.04621638524077549,0.1903666795550419,0.33144029997090796,0.16547471429284852,0.04878048780487805,0.2154088016177524,0.2926829268292683,0.4549941001506739,0.5231081926203877,0.09518333977752096,40.0,1.0,0.0,0.9627182479874086,0.03743263047098816,0.9475011054299093,0.04043614101546177,41
grambank_s46_B_masked70,0.05855031345810645,0.3120544663941082,0.03833646028767979,0.2161626787621991,0.40447883598183715,0.15746450647811971,0.024390243902439025,0.1542574468374819,0.3170731707317073,0.4653361958131442,0.51916823014384,0.10808133938109954,40.0,1.0,0.0,0.937782395725286,0.054824222695519426,0.9314147867922676,0.046548567088661105,41
wals_s46_B,0.040960051251544415,0.28347256641835583,0.030644152595372107,0.19988447074523477,0.33780773596906943,0.16065795736551122,0.07317073170731707,0.260416542732471,0.24390243902439024,0.4294345576014392,0.515322076297686,0.09994223537261737,40.0,1.0,0.0,0.9646980423771302,0.03251013234809601,0.9457089967793972,0.036662463152000814,41
grambank_s46_C,0.03206983626593765,0.30158828419141814,0.02225616276676225,0.21309335203460059,0.3716379461221903,0.13592167469049574,0.024390243902439025,0.1542574468374819,0.14634146341463414,0.3534482133216936,0.5137898686679174,0.1048822533962954,40.0,1.0,0.0,0.9643340626149953,0.03258121111237968,0.9458822886931585,0.035731473900619176,41
wals_s46_A,0.02810598087219146,0.24474774483644418,0.02026266416510319,0.1735189314619935,0.3350401985545571,0.17388399231567359,0.07317073170731707,0.260416542732471,0.3170731707317073,0.4653361958131442,0.5101313320825517,0.08675946573099674,40.0,1.0,0.0,0.9610688518225273,0.046432552544565374,0.9408528116932495,0.03775239659513597,41
wals_s46_B_masked50,0.016986226147439713,0.26378925060218583,0.015947467166979364,0.1831989231592602,0.364968979441494,0.1321684297905517,0.04878048780487805,0.2154088016177524,0.34146341463414637,0.47420053890789227,0.5079737335834897,0.09159946157963009,40.0,1.0,0.0,0.9590518908075583,0.03246766157749738,0.9423098005451522,0.03459278113202725,41
wals_s46_B_masked70,0.010364709650848862,0.26209507739909177,0.012695434646654163,0.18490782828988434,0.37384029141963676,0.13693351209507246,0.024390243902439025,0.1542574468374819,0.21951219512195122,0.4139161645970034,0.5063477173233271,0.09245391414494217,40.0,1.0,0.0,0.9565988059348064,0.03952627098181754,0.9416476227850759,0.03869488129626688,41
random,-0.0004667551365945215,0.17118007808374153,0.0011882426516572886,0.11803718785685784,0.4187714810840956,0.1525516181130591,0.024390243902439025,0.1542574468374819,0.2926829268292683,0.45499410015067393,0.5005941213258287,0.059018593928428925,40.0,1.0,0.0,0.9452045679056704,0.051268869016235605,0.9314773226125621,0.04163861814583926,41
grambank_s46_B_masked30,-0.013760124468036428,0.290559489146343,-0.009130706691682304,0.2014571831488978,0.3539518896824926,0.12534730544025183,0.024390243902439025,0.1542574468374819,0.1951219512195122,0.39629455632370536,0.4954346466541588,0.1007285915744489,40.0,1.0,0.0,0.9609521042044525,0.03804452348781146,0.9441001308915343,0.03225010769296929,41
grambank_s46_A,-0.021864274927927523,0.27335721704219,-0.014946841776110073,0.19046640078740212,0.37995398395415303,0.11662808606274991,0.0,0.0,0.12195121951219512,0.32722946012192045,0.49252657911194486,0.09523320039370105,40.0,1.0,0.0,0.9691774803420042,0.03157856420214205,0.9413777535319584,0.03749060476084408,41
grambank_s46_B,-0.05553013316249485,0.30056991423386276,-0.035084427767354605,0.20691563256433712,0.37053401024665766,0.13366431845236906,0.024390243902439025,0.1542574468374819,0.17073170731707318,0.37627435659857345,0.4824577861163227,0.10345781628216856,40.0,1.0,0.0,0.9642575453065558,0.03622862262246467,0.9456664817284899,0.03244131694338253,41
joint_B_wals_grambank,-0.05925044616299824,0.2861292124733643,-0.0368980612883052,0.20393404601283152,0.3696049520009485,0.10093052080186772,0.0,0.0,0.24390243902439024,0.4294345576014392,0.4815509693558474,0.10196702300641575,40.0,1.0,0.0,0.9630080032437365,0.03579157905064769,0.9403842516817361,0.03284882160963014,41
grambank_s46_B_masked50,-0.06678716880977441,0.2663986551050016,-0.045716072545340845,0.17897801670215452,0.4125968420033431,0.1374623140674935,0.0,0.0,0.14634146341463414,0.3534482133216936,0.4771419637273295,0.08948900835107726,40.0,1.0,0.0,0.9560560702569642,0.033566516767402396,0.9301232874080139,0.04788959122534978,41
