,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.5380863039399626,0.3666666666666667,0.1844758812615956,0.0,0.0,0.6833333333333333,40.0,1.0,0.9950673979708288,0.9786124117836953
copt1239,-0.3994371482176361,-0.28974358974358977,0.40767670466471684,0.0,0.0,0.35512820512820514,40.0,1.0,0.9454154480507887,0.9414463510608836
czec1258,0.37692307692307697,0.26153846153846155,0.20277777777777772,0.0,1.0,0.6307692307692307,40.0,1.0,0.9960823662229604,0.9945538543951821
dani1285,0.26397748592870546,0.16153846153846155,0.2044629299531262,0.0,0.0,0.5807692307692308,40.0,1.0,0.9966561315638341,0.9974931443228727
dutc1256,-0.10750469043151972,-0.08205128205128207,0.30282654230002226,0.0,0.0,0.45897435897435895,40.0,1.0,1.0,0.9705593297146782
faro1244,-0.3924953095684804,-0.25641025641025644,0.4339887640449438,0.0,0.0,0.3717948717948718,40.0,1.0,0.974854362474641,0.9790295145650362
finn1318,-0.15947467166979365,-0.10512820512820513,0.39935250428489816,0.0,0.0,0.44743589743589746,40.0,1.0,0.9479554201415245,0.9501643743616596
hebr1245,-0.2771106941838649,-0.18974358974358974,0.38765928906773983,0.0,1.0,0.40512820512820513,40.0,1.0,0.8942537944628747,0.9121632822414805
hind1269,0.29587242026266425,0.21025641025641026,0.19436553030303025,0.0,0.0,0.6051282051282051,40.0,1.0,1.0,0.9517007375798695
hung1274,0.29587242026266425,0.2076923076923077,0.3056487168858576,0.0,0.0,0.6038461538461538,40.0,1.0,0.9779123459262387,0.9551262236060245
icel1247,-0.21181988742964356,-0.15384615384615388,0.5378905041756883,0.0,0.0,0.4230769230769231,40.0,1.0,0.9059933067144641,0.9039399445782978
iris1253,-0.18161350844277677,-0.12051282051282051,0.3622026765025773,0.0,0.0,0.43974358974358974,40.0,1.0,1.0,0.9216550036386371
ital1282,-0.16416510318949346,-0.08974358974358974,0.18948897175945884,0.0,0.0,0.4551282051282051,40.0,1.0,1.0,0.9950326887835369
komi1268,0.14859287054409007,0.10512820512820513,0.4670947030497592,0.0,1.0,0.5525641025641026,40.0,1.0,0.8575882797255664,0.8729812029769225
kore1280,0.22251407129455913,0.14615384615384616,0.3835801838610829,0.0,0.0,0.573076923076923,40.0,1.0,0.9766867876067545,0.9439136437073077
latv1249,0.23996247654784245,0.1564102564102564,0.3724107256322279,0.0,0.0,0.5782051282051283,40.0,1.0,0.9434031827555709,0.9321236326657281
lith1251,0.36529080675422143,0.24871794871794875,0.2722389131996603,0.0,0.0,0.6243589743589744,40.0,1.0,0.9745000844820003,0.9775568861868893
malt1254,-0.052908067542213895,-0.04102564102564103,0.1600722578834754,0.0,0.0,0.4794871794871795,40.0,1.0,1.0,0.9347365405650541
mand1415,-0.34296435272045034,-0.23846153846153847,0.48124999999999996,0.0,0.0,0.38076923076923075,40.0,1.0,1.0,0.9688493785370884
mara1378,0.4465290806754222,0.33333333333333337,0.5024637127578305,0.0,1.0,0.6666666666666666,40.0,1.0,0.8509217544818853,0.870365770376898
mode1248,-0.3296435272045029,-0.2358974358974359,0.554314937140422,0.0,0.0,0.382051282051282,40.0,1.0,0.9090873168493198,0.9281801651363779
nort2671,0.2774859287054409,0.19487179487179487,0.3198778422835027,0.0,0.0,0.5974358974358974,40.0,1.0,1.0,0.9151368375204615
nucl1235,0.16060037523452161,0.09743589743589744,0.21651079192667394,0.0,1.0,0.5487179487179488,40.0,1.0,0.9569619330510973,0.9661551573077889
nucl1301,0.26529080675422145,0.18461538461538463,0.48711578276795675,0.0,0.0,0.5923076923076923,40.0,1.0,0.9262669849360221,0.8818739690738762
nucl1347,-0.3851782363977487,-0.27692307692307694,0.44178226145439264,0.0,0.0,0.36153846153846153,40.0,1.0,0.9670320988588746,0.9666039617840538
nucl1643,0.175797373358349,0.12820512820512822,0.0,1.0,1.0,0.5641025641025641,40.0,1.0,0.9932826736694431,0.9873238050553458
poli1260,0.005628517823639775,0.0025641025641025645,0.3683215854530595,0.0,0.0,0.5012820512820513,40.0,1.0,0.9613794467830641,0.9569667151337166
port1283,-0.29512195121951224,-0.20512820512820512,0.45903678397293446,0.0,0.0,0.3974358974358974,40.0,1.0,0.9398991833133968,0.9137871908664599
russ1263,0.26885553470919327,0.1717948717948718,0.3328724209308019,0.0,1.0,0.5858974358974359,40.0,1.0,0.9325192098517645,0.9418980816137708
slov1268,0.18836772983114447,0.11282051282051282,0.3654029945842627,0.0,0.0,0.5564102564102564,40.0,1.0,0.941240056914359,0.9392628232261553
