glottocode,family_id,source
beem1239,atla1278,grambank
beja1238,afro1255,grambank
beka1241,aust1307,grambank
bekw1241,atla1278,grambank
bekw1242,atla1278,grambank
bela1254,indo1319,grambank
bela1256,nilo1247,grambank
bela1260,aust1307,grambank
belh1239,sino1245,grambank
beli1257,cent2225,grambank
beli1260,indo1319,grambank
bell1243,sali1255,grambank
belu1239,atla1278,grambank
bemb1257,atla1278,grambank
bena1262,atla1278,grambank
benc1235,gong1255,grambank
beng1282,atla1278,grambank
bent1238,dogo1299,grambank
bera1262,aust1307,grambank
berb1259,indo1319,grambank
berj1234,tung1282,grambank
beta1252,aust1307,grambank
betu1237,drav1251,grambank
bezh1248,nakh1245,grambank
bhoj1244,indo1319,grambank
biaf1240,atla1278,grambank
biak1248,aust1307,grambank
bian1252,goil1242,grambank
biao1253,taik1256,grambank
biao1254,hmon1336,grambank
biao1256,hmon1336,grambank
biat1246,aust1307,grambank
bidy1244,atla1278,grambank
bier1244,aust1307,grambank
bign1238,aust1307,grambank
biha1246,aust1307,grambank
bila1255,atla1278,grambank
bilb1241,aust1307,grambank
bili1250,pama1250,grambank
bili1260,afro1255,grambank
bimi1240,nucl1709,grambank
bina1277,nucl1709,grambank
bine1240,east2503,grambank
bini1246,atla1278,grambank
binu1244,aust1307,grambank
biri1256,pama1250,grambank
birr1240,cent2225,grambank
bisl1239,indo1319,grambank
bisu1244,sino1245,grambank
bitt1240,aust1305,grambank
biwa1243,yuat1252,grambank
blab1237,aust1307,grambank
blan1242,aust1305,grambank
bobo1255,aust1307,grambank
bodo1267,aust1305,grambank
bodo1269,sino1245,grambank
bodo1272,atla1278,grambank
boht1238,afro1255,grambank
boka1249,sino1245,grambank
bola1250,aust1307,grambank
bolg1251,atla1278,grambank
boli1256,aust1307,grambank
bolo1262,atla1278,grambank
boly1239,aust1305,grambank
bomb1262,atla1278,grambank
bomk1234,atla1278,grambank
bona1250,mong1349,grambank
bond1245,aust1305,grambank
bond1247,atla1278,grambank
bong1284,atla1278,grambank
bong1285,cent2225,grambank
bong1289,aust1307,grambank
bora1263,bora1262,grambank
bora1271,afro1255,grambank
bord1248,chib1249,grambank
bori1243,sino1245,grambank
boro1277,gong1255,grambank
boro1282,boro1281,grambank
boru1252,chib1249,grambank
boto1242,aust1307,grambank
boun1243,atla1278,grambank
boun1245,nucl1709,grambank
bouy1240,taik1256,grambank
brah1256,drav1251,grambank
bret1244,indo1319,grambank
brib1243,chib1249,grambank
bube1242,atla1278,grambank
bubi1250,atla1278,grambank
budu1248,nakh1245,grambank
budu1265,afro1255,grambank
budz1238,atla1278,grambank
buga1247,aust1305,grambank
buga1250,aust1307,grambank
bugh1239,aust1307,grambank
bugi1244,aust1307,grambank
bugl1243,chib1249,grambank
bugu1246,sino1245,grambank
buhu1237,aust1307,grambank
bujh1238,sino1245,grambank
buka1257,aust1307,grambank
buki1249,nucl1708,grambank
buku1249,atla1278,grambank
bula1255,pama1250,grambank
bull1247,atla1278,grambank
bulo1242,aust1305,grambank
bulu1251,atla1278,grambank
buna1276,aust1307,grambank
buna1278,timo1261,grambank
bund1253,indo1319,grambank
bunu1267,aust1307,grambank
buol1237,aust1307,grambank
bura1267,mani1293,grambank
bura1292,afro1255,grambank
bure1242,afro1255,grambank
burj1242,afro1255,grambank
buru1303,aust1307,grambank
buru1320,afro1255,grambank
busa1253,mand1469,grambank
bush1247,atla1278,grambank
buta1242,taul1250,grambank
buwa1243,afro1255,grambank
bwai1242,aust1307,grambank
bwat1240,aust1307,grambank
byan1241,sino1245,grambank
caac1237,aust1307,grambank
cabe1245,chib1249,grambank
caca1249,pano1259,grambank
cacu1241,kaku1242,grambank
cahu1264,utoa1244,grambank
cakf1236,afro1255,grambank
cald1236,quec1387,grambank
caml1239,sino1245,grambank
camp1261,indo1319,grambank
cane1242,nucl1710,grambank
caom1238,taik1256,grambank
capa1241,pano1259,grambank
cari1276,aust1307,grambank
carn1240,aust1305,grambank
caro1242,aust1307,grambank
casi1235,aust1307,grambank
cata1286,siou1252,grambank
cavi1250,pano1259,grambank
cebu1242,aust1307,grambank
cemu1238,aust1307,grambank
cent1972,indo1319,grambank
cent1989,aust1305,grambank
cent1990,aust1305,grambank
cent1992,aust1305,grambank
cent2004,sino1245,grambank
cent2050,saha1256,grambank
cent2058,aust1307,grambank
cent2060,aust1307,grambank
cent2084,aust1307,grambank
cent2087,aust1307,grambank
cent2090,aust1307,grambank
cent2091,aust1307,grambank
cent2100,aust1307,grambank
cent2126,japo1237,grambank
cent2127,eski1264,grambank
cent2131,utoa1244,grambank
cent2140,miwo1274,grambank
cent2142,ayma1253,grambank
cent2150,chib1249,grambank
cent2292,aust1307,grambank
cent2314,aust1305,grambank
cent2322,ural1272,grambank
chac1249,barb1265,grambank
chac1251,pano1259,grambank
chad1249,afro1255,grambank
chak1270,sino1245,grambank
chak1271,atla1278,grambank
chal1275,afro1255,grambank
cham1309,nakh1245,grambank
cham1312,aust1307,grambank
cham1315,zamu1243,grambank
cham1318,araw1281,grambank
chan1313,sino1245,grambank
chao1238,sino1245,grambank
char1269,gong1255,grambank
chas1234,sino1245,grambank
chec1245,nakh1245,grambank
chek1238,aust1307,grambank
chen1255,drav1251,grambank
chep1245,sino1245,grambank
cher1273,iroq1247,grambank
chey1247,algi1248,grambank
chhi1245,sino1245,grambank
chib1270,chib1249,grambank
chic1270,musk1252,grambank
chig1238,atla1278,grambank
chil1280,atha1245,grambank
chim1302,quec1387,grambank
chim1309,chib1249,grambank
chim1312,atla1278,grambank
chin1286,chin1490,grambank
chip1241,algi1248,grambank
chip1261,atha1245,grambank
chiq1248,chiq1253,grambank
chir1283,sino1245,grambank
choc1275,sino1245,grambank
choc1276,musk1252,grambank
chol1284,hibi1242,grambank
chon1284,aust1305,grambank
chot1239,sino1245,grambank
chra1242,aust1305,grambank
chug1252,sino1245,grambank
chuj1250,maya1287,grambank
chuk1273,chuk1271,grambank
chuu1238,aust1307,grambank
chuv1255,turk1311,grambank
chuw1238,atla1278,grambank
cici1237,atla1278,grambank
cire1240,aust1307,grambank
cjin1234,aust1307,grambank
clas1249,indo1319,grambank
clas1250,utoa1244,grambank
coat1243,otom1299,grambank
coca1259,tupi1275,grambank
coch1272,coch1271,grambank
coco1260,aust1307,grambank
coeu1236,sali1255,grambank
cogu1240,chib1249,grambank
colo1256,barb1265,grambank
colu1241,sali1255,grambank
coma1245,utoa1244,grambank
como1259,sali1255,grambank
cong1236,atla1278,grambank
coos1249,coos1248,grambank
copa1237,otom1299,grambank
copt1239,afro1255,grambank
cori1240,atla1278,grambank
cors1241,indo1319,grambank
cosa1234,sino1245,grambank
cota1241,aust1307,grambank
cowl1242,sali1255,grambank
cree1270,musk1252,grambank
crim1257,turk1311,grambank
cros1244,atla1278,grambank
crow1244,siou1252,grambank
cuaa1241,aust1305,grambank
cube1242,tuca1253,grambank
culi1244,araw1282,grambank
cupe1243,utoa1244,grambank
curr1243,araw1281,grambank
cusc1236,quec1387,grambank
cuti1242,katu1274,grambank
cypr1248,afro1255,grambank
czec1258,indo1319,grambank
daai1236,sino1245,grambank
daak1235,aust1307,grambank
daas1238,afro1255,grambank
dadi1250,tebe1251,grambank
dagb1246,atla1278,grambank
dagi1241,narr1279,grambank
daha1245,afro1255,grambank
daka1243,aust1307,grambank
damp1237,aust1307,grambank
